team_id,season,jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
1,2018,11,8470619,Brian Boyle,/api/v1/people/8470619,C,Center,Forward,C
1,2018,18,8471226,Drew Stafford,/api/v1/people/8471226,R,Right Wing,Forward,RW
1,2018,14,8471233,Travis Zajac,/api/v1/people/8471233,C,Center,Forward,C
1,2018,4,8472382,Andy Greene,/api/v1/people/8472382,D,Defenseman,Defenseman,D
1,2018,2,8473468,Eric Gryba,/api/v1/people/8473468,D,Defenseman,Defenseman,D
1,2018,21,8473933,Ben Lovejoy,/api/v1/people/8473933,D,Defenseman,Defenseman,D
1,2018,34,8474025,Eric Tangradi,/api/v1/people/8474025,L,Left Wing,Forward,LW
1,2018,90,8475149,Marcus Johansson,/api/v1/people/8475149,L,Left Wing,Forward,LW
1,2018,21,8475151,Kyle Palmieri,/api/v1/people/8475151,C,Center,Forward,C
1,2018,45,8475222,Sami Vatanen,/api/v1/people/8475222,D,Defenseman,Defenseman,D
1,2018,71,8475791,Taylor Hall,/api/v1/people/8475791,L,Left Wing,Forward,LW
1,2018,18,8475844,Kenny Agostino,/api/v1/people/8475844,L,Left Wing,Forward,LW
1,2018,56,8476370,Blake Pietila,/api/v1/people/8476370,L,Left Wing,Forward,LW
1,2018,20,8476399,Blake Coleman,/api/v1/people/8476399,C,Center,Forward,C
1,2018,87,8476465,Ryan Murphy,/api/v1/people/8476465,D,Defenseman,Defenseman,D
1,2018,23,8476474,Stefan Noesen,/api/v1/people/8476474,R,Right Wing,Forward,RW
1,2018,79,8476545,Kurtis Gabriel,/api/v1/people/8476545,R,Right Wing,Forward,RW
1,2018,78,8476923,Damon Severson,/api/v1/people/8476923,D,Defenseman,Defenseman,D
1,2018,36,8476941,Connor Carrick,/api/v1/people/8476941,D,Defenseman,Defenseman,D
1,2018,8,8477355,Will Butcher,/api/v1/people/8477355,D,Defenseman,Defenseman,D
1,2018,28,8477425,Miles Wood,/api/v1/people/8477425,L,Left Wing,Forward,LW
1,2018,,8477463,Steven Santini,/api/v1/people/8477463,D,Defenseman,Defenseman,D
1,2018,25,8477509,Mirco Mueller,/api/v1/people/8477509,D,Defenseman,Defenseman,D
1,2018,48,8477520,Jean-Sebastien Dea,/api/v1/people/8477520,C,Center,Forward,C
1,2018,47,8477961,John Quenneville,/api/v1/people/8477961,C,Center,Forward,C
