,team_id,name
0,1,New Jersey Devils
1,2,New York Islanders
2,3,New York Rangers
3,4,Philadelphia Flyers
4,5,Pittsburgh Penguins
5,6,Boston Bruins
6,7,Buffalo Sabres
7,8,Montréal Canadiens
8,9,Ottawa Senators
9,10,Toronto Maple Leafs
10,12,Carolina Hurricanes
11,13,Florida Panthers
12,14,Tampa Bay Lightning
13,15,Washington Capitals
14,16,Chicago Blackhawks
15,17,Detroit Red Wings
16,18,Nashville Predators
17,19,St. Louis Blues
18,20,Calgary Flames
19,21,Colorado Avalanche
20,22,Edmonton Oilers
21,23,Vancouver Canucks
22,24,Anaheim Ducks
23,25,Dallas Stars
24,26,Los Angeles Kings
25,28,San Jose Sharks
26,29,Columbus Blue Jackets
27,30,Minnesota Wild
28,52,Winnipeg Jets
29,53,Arizona Coyotes
30,54,Vegas Golden Knights
31,55,Seattle Kraken
