team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2022,82.0,52,22,8,112,68.3,3.5244,2.707317,1.2792,21.9,49.0,40.0,224.0,82.6,34.4024,28.2317,0.75,0.524,0.783,0.919,0.614,0.667,4717.0,2418.0,2299.0,51.3,10.2,0.904,1,New Jersey Devils,/api/v1/teams/1,,,
1,2022,,3rd,5th,19th,3rd,3rd,4th,8th,4th,13th,20th,4th,28th,4th,4th,5th,15th,2nd,13th,3rd,9th,9th,13th,12th,14th,13th,,,1,New Jersey Devils,/api/v1/teams/1,7th,11th,15th
2,2022,82.0,42,31,9,93,56.7,2.9512,2.646341,1.2138,15.8,35.0,39.0,222.0,82.2,30.7805,31.0244,0.628,0.395,0.64,0.818,0.6,0.429,4462.0,2308.0,2154.0,51.7,9.6,0.915,2,New York Islanders,/api/v1/teams/2,,,
2,2022,,15th,15th,17th,16th,16th,22nd,5th,6th,30th,31st,2nd,31st,9th,19th,15th,20th,11th,25th,23rd,15th,15th,29th,19th,6th,10th,,,2,New York Islanders,/api/v1/teams/2,3rd,2nd,20th
3,2022,82.0,47,22,13,107,65.2,3.3293,2.634146,1.1895,24.1,59.0,42.0,245.0,81.2,31.4878,29.3293,0.744,0.385,0.742,0.743,0.6,0.556,4449.0,2183.0,2266.0,49.1,10.6,0.91,3,New York Rangers,/api/v1/teams/3,,,
3,2022,,9th,7th,5th,9th,9th,12th,4th,10th,7th,13th,7th,19th,13th,16th,6th,8th,6th,20th,30th,13th,13th,30th,26th,10th,20th,,,3,New York Rangers,/api/v1/teams/3,4th,8th,10th
4,2022,82.0,31,38,13,75,45.7,2.6829,3.365854,0.8793,15.6,35.0,59.0,225.0,74.7,29.4634,31.5244,0.531,0.28,0.706,0.88,0.389,0.386,4581.0,2095.0,2486.0,45.7,9.1,0.893,4,Philadelphia Flyers,/api/v1/teams/4,,,
4,2022,,26th,26th,6th,26th,26th,29th,23rd,23rd,32nd,32nd,22nd,27th,26th,24th,21st,28th,15th,21st,11th,29th,29th,19th,31st,26th,30th,,,4,Philadelphia Flyers,/api/v1/teams/4,9th,21st,28th
5,2022,82.0,40,31,11,91,55.5,3.1829,3.207317,0.9767,21.7,63.0,55.0,290.0,79.1,34.3659,32.7683,0.585,0.39,0.636,0.757,0.605,0.324,4748.0,2472.0,2276.0,52.1,9.3,0.902,5,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2022,,19th,16th,10th,19th,19th,16th,19th,18th,14th,9th,19th,2nd,16th,5th,25th,22nd,5th,26th,28th,12th,12th,12th,8th,11th,9th,,,5,Pittsburgh Penguins,/api/v1/teams/5,22nd,13th,25th
6,2022,82.0,65,12,5,135,82.3,3.6707,2.121951,1.7456,22.2,62.0,36.0,279.0,87.3,32.9634,29.8415,0.915,0.629,0.947,0.94,0.725,0.9,4693.0,2557.0,2136.0,54.5,11.1,0.929,6,Boston Bruins,/api/v1/teams/6,,,
6,2022,,1st,1st,31st,1st,1st,2nd,1st,1st,12th,11th,1st,4th,1st,9th,8th,1st,1st,1st,1st,2nd,2nd,14th,3rd,4th,2nd,,,6,Boston Bruins,/api/v1/teams/6,29th,1st,3rd
7,2022,82.0,42,33,7,91,55.5,3.5732,3.621951,0.9657,23.4,63.0,61.0,269.0,73.0,32.5,33.0488,0.744,0.302,0.783,0.871,0.512,0.513,4763.0,2149.0,2614.0,45.1,11.0,0.89,7,Buffalo Sabres,/api/v1/teams/7,,,
7,2022,,18th,20th,25th,20th,20th,3rd,26th,19th,9th,10th,25th,11th,28th,10th,26th,17th,19th,14th,14th,23rd,23rd,10th,29th,32nd,32nd,,,7,Buffalo Sabres,/api/v1/teams/7,5th,23rd,6th
8,2022,82.0,31,45,6,68,41.5,2.7683,3.719512,0.806,16.1,38.0,75.0,236.0,72.7,27.2805,33.5732,0.5,0.292,0.65,0.75,0.542,0.316,4505.0,2184.0,2321.0,48.5,10.1,0.889,8,Montréal Canadiens,/api/v1/teams/8,,,
8,2022,,27th,29th,30th,28th,28th,26th,29th,27th,29th,28th,30th,24th,29th,30th,28th,29th,16th,24th,29th,20th,20th,25th,25th,17th,25th,,,8,Montréal Canadiens,/api/v1/teams/8,26th,26th,16th
9,2022,82.0,39,35,8,86,52.4,3.1585,3.292683,0.8531,23.5,72.0,59.0,306.0,80.1,33.4878,31.3659,0.722,0.283,0.778,0.867,0.574,0.353,4906.0,2524.0,2382.0,51.5,9.4,0.895,9,Ottawa Senators,/api/v1/teams/9,,,
9,2022,,20th,21st,23rd,21st,21st,18th,20th,25th,8th,2nd,21st,1st,14th,7th,19th,21st,20th,15th,16th,16th,16th,4th,5th,20th,12th,,,9,Ottawa Senators,/api/v1/teams/9,31st,20th,24th
10,2022,82.0,50,21,11,111,67.7,3.3902,2.682927,1.2958,26.0,64.0,45.0,246.0,81.8,32.0488,29.5122,0.717,0.472,0.774,0.841,0.625,0.576,4415.0,2344.0,2071.0,53.1,10.6,0.909,10,Toronto Maple Leafs,/api/v1/teams/10,,,
10,2022,,6th,3rd,8th,4th,4th,9th,7th,3rd,2nd,5th,11th,18th,12th,12th,7th,6th,4th,16th,20th,7th,7th,32nd,16th,1st,4th,,,10,Toronto Maple Leafs,/api/v1/teams/10,16th,10th,9th
12,2022,82.0,52,21,9,113,68.9,3.1951,2.560976,1.2429,19.8,50.0,40.0,253.0,84.4,34.7805,26.0,0.816,0.364,0.81,0.875,0.662,0.538,4953.0,2618.0,2335.0,52.9,9.2,0.902,12,Carolina Hurricanes,/api/v1/teams/12,,,
12,2022,,2nd,2nd,14th,2nd,2nd,15th,2nd,5th,20th,18th,3rd,14th,2nd,3rd,1st,3rd,21st,10th,12th,5th,5th,3rd,1st,18th,5th,,,12,Carolina Hurricanes,/api/v1/teams/12,19th,14th,26th
13,2022,82.0,42,32,8,92,56.1,3.5122,3.317073,1.2,22.8,63.0,70.0,276.0,76.0,36.8171,31.7439,0.682,0.316,0.771,0.865,0.528,0.5,4983.0,2437.0,2546.0,48.9,9.5,0.896,13,Florida Panthers,/api/v1/teams/13,,,
13,2022,,17th,18th,22nd,18th,18th,6th,21st,9th,10th,8th,29th,5th,23rd,1st,22nd,16th,22nd,17th,17th,22nd,22nd,2nd,11th,30th,22nd,,,13,Florida Panthers,/api/v1/teams/13,30th,19th,22nd
14,2022,82.0,46,30,6,98,59.8,3.4146,3.073171,1.0802,25.4,71.0,53.0,280.0,79.7,31.9634,31.4878,0.721,0.395,0.867,0.903,0.605,0.486,4580.0,2365.0,2215.0,51.6,10.7,0.902,14,Tampa Bay Lightning,/api/v1/teams/14,,,
14,2022,,13th,14th,29th,13th,13th,8th,15th,14th,3rd,3rd,16th,3rd,15th,13th,20th,13th,9th,3rd,7th,11th,11th,20th,13th,8th,11th,,,14,Tampa Bay Lightning,/api/v1/teams/14,21st,12th,8th
15,2022,82.0,35,37,10,80,48.8,3.0854,3.182927,0.9454,21.2,52.0,41.0,245.0,81.9,31.0854,31.0732,0.568,0.311,0.63,0.781,0.568,0.275,4683.0,2320.0,2363.0,49.5,9.9,0.898,15,Washington Capitals,/api/v1/teams/15,,,
15,2022,,24th,23rd,12th,24th,24th,20th,18th,22nd,16th,17th,6th,20th,11th,17th,16th,25th,14th,27th,27th,17th,17th,15th,18th,19th,17th,,,15,Washington Capitals,/api/v1/teams/15,6th,16th,19th
16,2022,82.0,26,49,7,59,36.0,2.4634,3.646341,0.649,16.4,38.0,55.0,232.0,76.2,26.9512,33.6341,0.581,0.157,0.588,0.706,0.316,0.333,4469.0,2355.0,2114.0,52.7,9.1,0.892,16,Chicago Blackhawks,/api/v1/teams/16,,,
16,2022,,29th,32nd,28th,31st,31st,32nd,28th,30th,28th,29th,20th,25th,22nd,31st,29th,27th,31st,29th,31st,31st,31st,27th,14th,2nd,6th,,,16,Chicago Blackhawks,/api/v1/teams/16,8th,22nd,29th
17,2022,82.0,35,37,10,80,48.8,2.8902,3.353659,0.7978,21.1,57.0,54.0,270.0,78.3,28.1951,30.439,0.548,0.3,0.667,0.88,0.452,0.447,4537.0,2229.0,2308.0,49.1,10.3,0.89,17,Detroit Red Wings,/api/v1/teams/17,,,
17,2022,,25th,24th,13th,25th,25th,24th,22nd,28th,17th,14th,17th,9th,18th,29th,11th,24th,23rd,22nd,10th,26th,26th,23rd,22nd,15th,19th,,,17,Detroit Red Wings,/api/v1/teams/17,18th,24th,14th
18,2022,82.0,42,32,8,92,56.1,2.7195,2.878049,0.9542,17.6,44.0,48.0,250.0,82.5,29.5,33.2805,0.696,0.278,0.813,0.867,0.552,0.5,4492.0,2346.0,2146.0,52.2,9.2,0.914,18,Nashville Predators,/api/v1/teams/18,,,
18,2022,,16th,17th,21st,17th,17th,28th,12th,21st,27th,24th,14th,17th,6th,23rd,27th,11th,26th,9th,15th,18th,18th,26th,15th,5th,8th,,,18,Nashville Predators,/api/v1/teams/18,25th,4th,27th
19,2022,82.0,37,38,7,81,49.4,3.1707,3.634146,0.9628,19.3,46.0,60.0,238.0,72.3,28.5488,32.3415,0.667,0.225,0.762,0.9,0.391,0.481,4434.0,2150.0,2284.0,48.5,11.1,0.888,19,St. Louis Blues,/api/v1/teams/19,,,
19,2022,,23rd,25th,27th,23rd,23rd,17th,27th,20th,22nd,22nd,24th,22nd,30th,27th,24th,18th,29th,18th,8th,28th,28th,31st,28th,13th,24th,,,19,St. Louis Blues,/api/v1/teams/19,2nd,28th,5th
20,2022,82.0,38,27,17,93,56.7,3.1463,3.012195,1.0769,19.8,50.0,47.0,252.0,82.6,35.9512,27.3171,0.643,0.256,0.815,0.824,0.475,0.368,5027.0,2531.0,2496.0,50.4,8.8,0.89,20,Calgary Flames,/api/v1/teams/20,,,
20,2022,,21st,12th,1st,15th,15th,19th,13th,15th,19th,19th,13th,16th,5th,2nd,3rd,19th,25th,8th,22nd,25th,25th,1st,4th,27th,16th,,,20,Calgary Flames,/api/v1/teams/20,24th,25th,32nd
21,2022,82.0,51,24,7,109,66.5,3.3415,2.719512,1.2,24.5,64.0,52.0,261.0,79.0,33.2561,30.9634,0.774,0.321,0.861,0.837,0.674,0.531,4830.0,2256.0,2574.0,46.7,10.0,0.912,21,Colorado Avalanche,/api/v1/teams/21,,,
21,2022,,5th,9th,24th,7th,7th,10th,9th,8th,6th,6th,15th,12th,17th,8th,14th,2nd,27th,5th,21st,4th,4th,7th,21st,31st,28th,,,21,Colorado Avalanche,/api/v1/teams/21,17th,6th,17th
22,2022,82.0,50,23,9,109,66.5,3.9634,3.121951,1.1361,32.4,89.0,64.0,275.0,77.0,33.5854,31.3659,0.727,0.474,0.788,0.85,0.727,0.459,4888.0,2484.0,2404.0,50.8,11.8,0.9,22,Edmonton Oilers,/api/v1/teams/22,,,
22,2022,,7th,8th,16th,6th,6th,1st,17th,12th,1st,1st,26th,6th,20th,6th,18th,7th,3rd,11th,18th,1st,1st,5th,6th,23rd,15th,,,22,Edmonton Oilers,/api/v1/teams/22,27th,15th,1st
23,2022,82.0,38,37,7,83,50.6,3.2927,3.609756,0.8756,22.7,62.0,69.0,273.0,71.6,29.7317,30.8171,0.561,0.366,0.654,0.808,0.417,0.513,4593.0,2273.0,2320.0,49.5,11.1,0.883,23,Vancouver Canucks,/api/v1/teams/23,,,
23,2022,,22nd,22nd,26th,22nd,22nd,13th,25th,24th,11th,12th,28th,7th,32nd,22nd,12th,23rd,12th,23rd,25th,27th,27th,18th,20th,16th,18th,,,23,Vancouver Canucks,/api/v1/teams/23,14th,31st,4th
24,2022,82.0,23,47,12,58,35.4,2.5122,4.085366,0.6356,15.7,36.0,78.0,229.0,72.1,28.3659,39.1098,0.36,0.246,0.563,0.8,0.545,0.217,4750.0,2220.0,2530.0,46.7,8.9,0.896,24,Anaheim Ducks,/api/v1/teams/24,,,
24,2022,,31st,30th,7th,32nd,32nd,31st,32nd,31st,31st,30th,31st,26th,31st,28th,32nd,32nd,17th,30th,26th,19th,19th,11th,23rd,29th,27th,,,24,Anaheim Ducks,/api/v1/teams/24,28th,18th,31st
25,2022,82.0,47,21,14,108,65.9,3.4268,2.621951,1.2069,25.0,64.0,40.0,256.0,83.5,31.9146,29.9024,0.745,0.29,0.818,0.939,0.622,0.455,4765.0,2609.0,2156.0,54.8,10.7,0.912,25,Dallas Stars,/api/v1/teams/25,,,
25,2022,,8th,4th,3rd,8th,8th,7th,3rd,7th,5th,7th,5th,13th,3rd,14th,9th,5th,28th,7th,2nd,8th,8th,9th,2nd,7th,1st,,,25,Dallas Stars,/api/v1/teams/25,13th,5th,7th
26,2022,82.0,47,25,10,104,63.4,3.3415,3.097561,1.0563,25.3,68.0,65.0,269.0,75.8,32.4146,27.9146,0.78,0.366,0.786,0.872,0.61,0.389,4572.0,2438.0,2134.0,53.3,10.3,0.889,26,Los Angeles Kings,/api/v1/teams/26,,,
