team_id,season,jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
1,2017,11,8470619,Brian Boyle,/api/v1/people/8470619,C,Center,Forward,C
1,2017,18,8471226,Drew Stafford,/api/v1/people/8471226,R,Right Wing,Forward,RW
1,2017,14,8471233,Travis Zajac,/api/v1/people/8471233,C,Center,Forward,C
1,2017,4,8472382,Andy Greene,/api/v1/people/8472382,D,Defenseman,Defenseman,D
1,2017,40,8473546,Michael Grabner,/api/v1/people/8473546,L,Left Wing,Forward,LW
1,2017,21,8473933,Ben Lovejoy,/api/v1/people/8473933,D,Defenseman,Defenseman,D
1,2017,20,8474034,Pat Maroon,/api/v1/people/8474034,L,Left Wing,Forward,LW
1,2017,11,8474625,Jimmy Hayes,/api/v1/people/8474625,R,Right Wing,Forward,RW
1,2017,14,8474641,Adam Henrique,/api/v1/people/8474641,C,Center,Forward,C
1,2017,5,8474774,Dalton Prout,/api/v1/people/8474774,D,Defenseman,Defenseman,D
1,2017,90,8475149,Marcus Johansson,/api/v1/people/8475149,L,Left Wing,Forward,LW
1,2017,21,8475151,Kyle Palmieri,/api/v1/people/8475151,C,Center,Forward,C
1,2017,2,8475186,John Moore,/api/v1/people/8475186,D,Defenseman,Defenseman,D
1,2017,45,8475222,Sami Vatanen,/api/v1/people/8475222,D,Defenseman,Defenseman,D
1,2017,71,8475791,Taylor Hall,/api/v1/people/8475791,L,Left Wing,Forward,LW
1,2017,29,8476207,Brian Gibbons,/api/v1/people/8476207,C,Center,Forward,C
1,2017,56,8476370,Blake Pietila,/api/v1/people/8476370,L,Left Wing,Forward,LW
1,2017,20,8476399,Blake Coleman,/api/v1/people/8476399,C,Center,Forward,C
1,2017,23,8476474,Stefan Noesen,/api/v1/people/8476474,R,Right Wing,Forward,RW
1,2017,78,8476923,Damon Severson,/api/v1/people/8476923,D,Defenseman,Defenseman,D
1,2017,8,8477355,Will Butcher,/api/v1/people/8477355,D,Defenseman,Defenseman,D
1,2017,28,8477425,Miles Wood,/api/v1/people/8477425,L,Left Wing,Forward,LW
1,2017,,8477463,Steven Santini,/api/v1/people/8477463,D,Defenseman,Defenseman,D
