20162017,20172018,20182019,20192020,20202021,20212022,20222023,20232024
"{'jerseyNumber': 18, 'apiID': 8470599, 'name': 'Milan Michalek', 'position': 'Left Wing', 'firstName': 'Milan', 'lastName': 'Michalek'}","{'jerseyNumber': 12, 'apiID': 8466139, 'name': 'Patrick Marleau', 'position': 'Center', 'firstName': 'Patrick', 'lastName': 'Marleau'}","{'jerseyNumber': 12, 'apiID': 8466139, 'name': 'Patrick Marleau', 'position': 'Center', 'firstName': 'Patrick', 'lastName': 'Marleau'}","{'jerseyNumber': 19, 'apiID': 8469455, 'name': 'Jason Spezza', 'position': 'Center', 'firstName': 'Jason', 'lastName': 'Spezza'}","{'jerseyNumber': 19, 'apiID': 8466138, 'name': 'Joe Thornton', 'position': 'Center', 'firstName': 'Joe', 'lastName': 'Thornton'}","{'jerseyNumber': 19, 'apiID': 8469455, 'name': 'Jason Spezza', 'position': 'Center', 'firstName': 'Jason', 'lastName': 'Spezza'}","{'jerseyNumber': 55, 'apiID': 8470966, 'name': 'Mark Giordano', 'position': 'Defenseman', 'firstName': 'Mark', 'lastName': 'Giordano'}","{'jerseyNumber': 8, 'apiID': 8474162, 'name': 'Jake Muzzin', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Muzzin'}"
"{'jerseyNumber': 21, 'apiID': 8470611, 'name': 'Eric Fehr', 'position': 'Center', 'firstName': 'Eric', 'lastName': 'Fehr'}","{'jerseyNumber': 81, 'apiID': 8468493, 'name': 'Ron Hainsey', 'position': 'Defenseman', 'firstName': 'Ron', 'lastName': 'Hainsey'}","{'jerseyNumber': 81, 'apiID': 8468493, 'name': 'Ron Hainsey', 'position': 'Defenseman', 'firstName': 'Ron', 'lastName': 'Hainsey'}","{'jerseyNumber': 8, 'apiID': 8474162, 'name': 'Jake Muzzin', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Muzzin'}","{'jerseyNumber': 19, 'apiID': 8469455, 'name': 'Jason Spezza', 'position': 'Center', 'firstName': 'Jason', 'lastName': 'Spezza'}","{'jerseyNumber': 55, 'apiID': 8470966, 'name': 'Mark Giordano', 'position': 'Defenseman', 'firstName': 'Mark', 'lastName': 'Giordano'}","{'jerseyNumber': 8, 'apiID': 8474162, 'name': 'Jake Muzzin', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Muzzin'}","{'jerseyNumber': 89, 'apiID': 8481582, 'name': 'Nicholas Robertson', 'position': 'Left Wing', 'firstName': 'Nicholas', 'lastName': 'Robertson'}"
"{'jerseyNumber': 11, 'apiID': 8470619, 'name': 'Brian Boyle', 'position': 'Center', 'firstName': 'Brian', 'lastName': 'Boyle'}","{'jerseyNumber': 20, 'apiID': 8468575, 'name': 'Dominic Moore', 'position': 'Center', 'firstName': 'Dominic', 'lastName': 'Moore'}","{'jerseyNumber': 8, 'apiID': 8474162, 'name': 'Jake Muzzin', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Muzzin'}","{'jerseyNumber': 43, 'apiID': 8475160, 'name': 'Kyle Clifford', 'position': 'Left Wing', 'firstName': 'Kyle', 'lastName': 'Clifford'}","{'jerseyNumber': 17, 'apiID': 8473422, 'name': 'Nick Foligno', 'position': 'Left Wing', 'firstName': 'Nick', 'lastName': 'Foligno'}","{'jerseyNumber': 33, 'apiID': 8473415, 'name': 'Alex Biega', 'position': 'Defenseman', 'firstName': 'Alex', 'lastName': 'Biega'}","{'jerseyNumber': 24, 'apiID': 8474190, 'name': 'Wayne Simmonds', 'position': 'Right Wing', 'firstName': 'Wayne', 'lastName': 'Simmonds'}","{'jerseyNumber': 55, 'apiID': 8470966, 'name': 'Mark Giordano', 'position': 'Defenseman', 'firstName': 'Mark', 'lastName': 'Giordano'}"
"{'jerseyNumber': 45, 'apiID': 8471392, 'name': 'Roman Polak', 'position': 'Defenseman', 'firstName': 'Roman', 'lastName': 'Polak'}","{'jerseyNumber': 14, 'apiID': 8469521, 'name': 'Tomas Plekanec', 'position': 'Center', 'firstName': 'Tomas', 'lastName': 'Plekanec'}","{'jerseyNumber': 51, 'apiID': 8474581, 'name': 'Jake Gardiner', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Gardiner'}","{'jerseyNumber': 91, 'apiID': 8475166, 'name': 'John Tavares', 'position': 'Center', 'firstName': 'John', 'lastName': 'Tavares'}","{'jerseyNumber': 8, 'apiID': 8474162, 'name': 'Jake Muzzin', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Muzzin'}","{'jerseyNumber': 8, 'apiID': 8474162, 'name': 'Jake Muzzin', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Muzzin'}","{'jerseyNumber': 2, 'apiID': 8474568, 'name': 'Luke Schenn', 'position': 'Defenseman', 'firstName': 'Luke', 'lastName': 'Schenn'}","{'jerseyNumber': 75, 'apiID': 8471817, 'name': 'Ryan Reaves', 'position': 'Right Wing', 'firstName': 'Ryan', 'lastName': 'Reaves'}"
"{'jerseyNumber': 48, 'apiID': 8471436, 'name': 'Matt Hunwick', 'position': 'Defenseman', 'firstName': 'Matt', 'lastName': 'Hunwick'}","{'jerseyNumber': 21, 'apiID': 8470611, 'name': 'Eric Fehr', 'position': 'Center', 'firstName': 'Eric', 'lastName': 'Fehr'}","{'jerseyNumber': 63, 'apiID': 8474589, 'name': 'Tyler Ennis', 'position': 'Right Wing', 'firstName': 'Tyler', 'lastName': 'Ennis'}","{'jerseyNumber': 22, 'apiID': 8475197, 'name': 'Tyson Barrie', 'position': 'Defenseman', 'firstName': 'Tyson', 'lastName': 'Barrie'}","{'jerseyNumber': 24, 'apiID': 8474190, 'name': 'Wayne Simmonds', 'position': 'Right Wing', 'firstName': 'Wayne', 'lastName': 'Simmonds'}","{'jerseyNumber': 24, 'apiID': 8474190, 'name': 'Wayne Simmonds', 'position': 'Right Wing', 'firstName': 'Wayne', 'lastName': 'Simmonds'}","{'jerseyNumber': 78, 'apiID': 8474673, 'name': 'TJ Brodie', 'position': 'Defenseman', 'firstName': 'TJ', 'lastName': 'Brodie'}","{'jerseyNumber': 78, 'apiID': 8474673, 'name': 'TJ Brodie', 'position': 'Defenseman', 'firstName': 'TJ', 'lastName': 'Brodie'}"
"{'jerseyNumber': 47, 'apiID': 8473463, 'name': 'Leo Komarov', 'position': 'Right Wing', 'firstName': 'Leo', 'lastName': 'Komarov'}","{'jerseyNumber': 45, 'apiID': 8471392, 'name': 'Roman Polak', 'position': 'Defenseman', 'firstName': 'Roman', 'lastName': 'Polak'}","{'jerseyNumber': 91, 'apiID': 8475166, 'name': 'John Tavares', 'position': 'Center', 'firstName': 'John', 'lastName': 'Tavares'}","{'jerseyNumber': 52, 'apiID': 8475716, 'name': 'Martin Marincin', 'position': 'Defenseman', 'firstName': 'Martin', 'lastName': 'Marincin'}","{'jerseyNumber': 24, 'apiID': 8474567, 'name': 'Zach Bogosian', 'position': 'Defenseman', 'firstName': 'Zach', 'lastName': 'Bogosian'}","{'jerseyNumber': 78, 'apiID': 8474673, 'name': 'TJ Brodie', 'position': 'Defenseman', 'firstName': 'TJ', 'lastName': 'Brodie'}","{'jerseyNumber': 18, 'apiID': 8474818, 'name': 'Jordie Benn', 'position': 'Defenseman', 'firstName': 'Jordie', 'lastName': 'Benn'}","{'jerseyNumber': 31, 'apiID': 8474889, 'name': 'Martin Jones', 'position': 'Goalie', 'firstName': 'Martin', 'lastName': 'Jones'}"
"{'jerseyNumber': 21, 'apiID': 8474037, 'name': 'James van Riemsdyk', 'position': 'Left Wing', 'firstName': 'James', 'lastName': 'van'}","{'jerseyNumber': 47, 'apiID': 8473463, 'name': 'Leo Komarov', 'position': 'Right Wing', 'firstName': 'Leo', 'lastName': 'Komarov'}","{'jerseyNumber': 91, 'apiID': 8475172, 'name': 'Nazem Kadri', 'position': 'Center', 'firstName': 'Nazem', 'lastName': 'Kadri'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 78, 'apiID': 8474673, 'name': 'TJ Brodie', 'position': 'Defenseman', 'firstName': 'TJ', 'lastName': 'Brodie'}","{'jerseyNumber': 43, 'apiID': 8475160, 'name': 'Kyle Clifford', 'position': 'Left Wing', 'firstName': 'Kyle', 'lastName': 'Clifford'}","{'jerseyNumber': 90, 'apiID': 8475158, 'name': ""Ryan O'Reilly"", 'position': 'Center', 'firstName': 'Ryan', 'lastName': ""O'Reilly""}","{'jerseyNumber': 43, 'apiID': 8475160, 'name': 'Kyle Clifford', 'position': 'Left Wing', 'firstName': 'Kyle', 'lastName': 'Clifford'}"
"{'jerseyNumber': 51, 'apiID': 8474581, 'name': 'Jake Gardiner', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Gardiner'}","{'jerseyNumber': 21, 'apiID': 8474037, 'name': 'James van Riemsdyk', 'position': 'Left Wing', 'firstName': 'James', 'lastName': 'van'}","{'jerseyNumber': 52, 'apiID': 8475716, 'name': 'Martin Marincin', 'position': 'Defenseman', 'firstName': 'Martin', 'lastName': 'Marincin'}","{'jerseyNumber': 18, 'apiID': 8475786, 'name': 'Zach Hyman', 'position': 'Left Wing', 'firstName': 'Zach', 'lastName': 'Hyman'}","{'jerseyNumber': 91, 'apiID': 8475166, 'name': 'John Tavares', 'position': 'Center', 'firstName': 'John', 'lastName': 'Tavares'}","{'jerseyNumber': 91, 'apiID': 8475166, 'name': 'John Tavares', 'position': 'Center', 'firstName': 'John', 'lastName': 'Tavares'}","{'jerseyNumber': 43, 'apiID': 8475160, 'name': 'Kyle Clifford', 'position': 'Left Wing', 'firstName': 'Kyle', 'lastName': 'Clifford'}","{'jerseyNumber': 91, 'apiID': 8475166, 'name': 'John Tavares', 'position': 'Center', 'firstName': 'John', 'lastName': 'Tavares'}"
"{'jerseyNumber': 17, 'apiID': 8474709, 'name': 'Matt Martin', 'position': 'Left Wing', 'firstName': 'Matt', 'lastName': 'Martin'}","{'jerseyNumber': 51, 'apiID': 8474581, 'name': 'Jake Gardiner', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'Gardiner'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 5, 'apiID': 8475857, 'name': 'Kevin Gravel', 'position': 'Defenseman', 'firstName': 'Kevin', 'lastName': 'Gravel'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 91, 'apiID': 8475166, 'name': 'John Tavares', 'position': 'Center', 'firstName': 'John', 'lastName': 'Tavares'}","{'jerseyNumber': 19, 'apiID': 8475714, 'name': 'Calle Jarnkrok', 'position': 'Center', 'firstName': 'Calle', 'lastName': 'Jarnkrok'}"
"{'jerseyNumber': 18, 'apiID': 8474727, 'name': 'Ben Smith', 'position': 'Right Wing', 'firstName': 'Ben', 'lastName': 'Smith'}","{'jerseyNumber': 17, 'apiID': 8474709, 'name': 'Matt Martin', 'position': 'Left Wing', 'firstName': 'Matt', 'lastName': 'Martin'}","{'jerseyNumber': 18, 'apiID': 8475786, 'name': 'Zach Hyman', 'position': 'Left Wing', 'firstName': 'Zach', 'lastName': 'Hyman'}","{'jerseyNumber': 21, 'apiID': 8476406, 'name': 'Nicholas Shore', 'position': 'Center', 'firstName': 'Nicholas', 'lastName': 'Shore'}","{'jerseyNumber': 18, 'apiID': 8475786, 'name': 'Zach Hyman', 'position': 'Left Wing', 'firstName': 'Zach', 'lastName': 'Hyman'}","{'jerseyNumber': 43, 'apiID': 8476278, 'name': 'Colin Blackwell', 'position': 'Center', 'firstName': 'Colin', 'lastName': 'Blackwell'}","{'jerseyNumber': 19, 'apiID': 8475714, 'name': 'Calle Jarnkrok', 'position': 'Center', 'firstName': 'Calle', 'lastName': 'Jarnkrok'}","{'jerseyNumber': 3, 'apiID': 8475906, 'name': 'John Klingberg', 'position': 'Defenseman', 'firstName': 'John', 'lastName': 'Klingberg'}"
"{'jerseyNumber': 21, 'apiID': 8475098, 'name': 'Tyler Bozak', 'position': 'Center', 'firstName': 'Tyler', 'lastName': 'Bozak'}","{'jerseyNumber': 21, 'apiID': 8475098, 'name': 'Tyler Bozak', 'position': 'Center', 'firstName': 'Tyler', 'lastName': 'Bozak'}","{'jerseyNumber': 17, 'apiID': 8476410, 'name': 'Josh Leivo', 'position': 'Left Wing', 'firstName': 'Josh', 'lastName': 'Leivo'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 18, 'apiID': 8475844, 'name': 'Kenny Agostino', 'position': 'Left Wing', 'firstName': 'Kenny', 'lastName': 'Agostino'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}"
"{'jerseyNumber': 91, 'apiID': 8475172, 'name': 'Nazem Kadri', 'position': 'Center', 'firstName': 'Nazem', 'lastName': 'Kadri'}","{'jerseyNumber': 91, 'apiID': 8475172, 'name': 'Nazem Kadri', 'position': 'Center', 'firstName': 'Nazem', 'lastName': 'Kadri'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 46, 'apiID': 8476857, 'name': 'Pontus Aberg', 'position': 'Left Wing', 'firstName': 'Pontus', 'lastName': 'Aberg'}","{'jerseyNumber': 72, 'apiID': 8476329, 'name': 'Travis Boyd', 'position': 'Center', 'firstName': 'Travis', 'lastName': 'Boyd'}","{'jerseyNumber': 15, 'apiID': 8477021, 'name': 'Alex Kerfoot', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Kerfoot'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 22, 'apiID': 8476931, 'name': 'Jake McCabe', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'McCabe'}"
"{'jerseyNumber': 51, 'apiID': 8475278, 'name': 'Byron Froese', 'position': 'Center', 'firstName': 'Byron', 'lastName': 'Froese'}","{'jerseyNumber': 52, 'apiID': 8475716, 'name': 'Martin Marincin', 'position': 'Defenseman', 'firstName': 'Martin', 'lastName': 'Marincin'}","{'jerseyNumber': 28, 'apiID': 8477015, 'name': 'Connor Brown', 'position': 'Right Wing', 'firstName': 'Connor', 'lastName': 'Brown'}","{'jerseyNumber': 5, 'apiID': 8476879, 'name': 'Cody Ceci', 'position': 'Defenseman', 'firstName': 'Cody', 'lastName': 'Ceci'}","{'jerseyNumber': 23, 'apiID': 8476474, 'name': 'Stefan Noesen', 'position': 'Right Wing', 'firstName': 'Stefan', 'lastName': 'Noesen'}","{'jerseyNumber': 48, 'apiID': 8477472, 'name': 'Carl Dahlstrom', 'position': 'Defenseman', 'firstName': 'Carl', 'lastName': 'Dahlstrom'}","{'jerseyNumber': 22, 'apiID': 8476931, 'name': 'Jake McCabe', 'position': 'Defenseman', 'firstName': 'Jake', 'lastName': 'McCabe'}","{'jerseyNumber': 59, 'apiID': 8477479, 'name': 'Tyler Bertuzzi', 'position': 'Left Wing', 'firstName': 'Tyler', 'lastName': 'Bertuzzi'}"
"{'jerseyNumber': 52, 'apiID': 8475716, 'name': 'Martin Marincin', 'position': 'Defenseman', 'firstName': 'Martin', 'lastName': 'Marincin'}","{'jerseyNumber': 3, 'apiID': 8475718, 'name': 'Justin Holl', 'position': 'Defenseman', 'firstName': 'Justin', 'lastName': 'Holl'}","{'jerseyNumber': 18, 'apiID': 8477341, 'name': 'Andreas Johnsson', 'position': 'Left Wing', 'firstName': 'Andreas', 'lastName': 'Johnsson'}","{'jerseyNumber': 15, 'apiID': 8477021, 'name': 'Alex Kerfoot', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Kerfoot'}","{'jerseyNumber': 17, 'apiID': 8476851, 'name': 'Alex Galchenyuk', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Galchenyuk'}","{'jerseyNumber': 88, 'apiID': 8477939, 'name': 'William Nylander', 'position': 'Right Wing', 'firstName': 'William', 'lastName': 'Nylander'}","{'jerseyNumber': 56, 'apiID': 8476979, 'name': 'Erik Gustafsson', 'position': 'Defenseman', 'firstName': 'Erik', 'lastName': 'Gustafsson'}","{'jerseyNumber': 11, 'apiID': 8477503, 'name': 'Max Domi', 'position': 'Center', 'firstName': 'Max', 'lastName': 'Domi'}"
"{'jerseyNumber': 18, 'apiID': 8475786, 'name': 'Zach Hyman', 'position': 'Left Wing', 'firstName': 'Zach', 'lastName': 'Hyman'}","{'jerseyNumber': 18, 'apiID': 8475786, 'name': 'Zach Hyman', 'position': 'Left Wing', 'firstName': 'Zach', 'lastName': 'Hyman'}","{'jerseyNumber': 19, 'apiID': 8477464, 'name': 'Nic Petan', 'position': 'Center', 'firstName': 'Nic', 'lastName': 'Petan'}","{'jerseyNumber': 18, 'apiID': 8477341, 'name': 'Andreas Johnsson', 'position': 'Left Wing', 'firstName': 'Andreas', 'lastName': 'Johnsson'}","{'jerseyNumber': 44, 'apiID': 8476853, 'name': 'Morgan Rielly', 'position': 'Defenseman', 'firstName': 'Morgan', 'lastName': 'Rielly'}","{'jerseyNumber': 27, 'apiID': 8477941, 'name': 'Nick Ritchie', 'position': 'Left Wing', 'firstName': 'Nick', 'lastName': 'Ritchie'}","{'jerseyNumber': 15, 'apiID': 8477021, 'name': 'Alex Kerfoot', 'position': 'Center', 'firstName': 'Alex', 'lastName': 'Kerfoot'}","{'jerseyNumber': 88, 'apiID': 8477939, 'name': 'William Nylander', 'position': 'Right Wing', 'firstName': 'William', 'lastName': 'Nylander'}"
