lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84758258476902,2022,Lindell-Hakanp,DAL,pairing,5on5,15,11579.0,29.0,0.52,0.45,0.44,86.46,7.46,5.89,21.78,2.8,45.08,31.99,7.31,7.45,7.31,75.0,40.0,56.0,171.0,6.0,12.0,1.0,10.0,2.0,42.0,43.0,69.0,109.0,11.0,22.0,90.0,130.0,19.0,33.0,80.0,29.0,6.0,2.37,3.56,1.53,1.0,3.0,2.0,170.35,115.0,114.43,16.0,1.22,1.74,1.74,6.94,6.97,6.92,103.93,6.84,6.27,26.16,3.34,57.93,43.45,6.68,6.99,6.81,109.0,35.0,63.0,207.0,11.0,6.0,1.0,16.0,2.0,57.0,52.0,98.0,133.0,8.0,16.0,82.0,111.0,35.0,37.0,121.0,17.0,6.0,3.09,2.11,1.64,6.0,4.0,1.0,209.49,144.0,145.64,13.0,1.27,1.23,1.23,6.89,7.02,6.95
84745638479998,2022,Anderson-Doughty,LAK,pairing,5on5,6,6842.0,7.0,0.47,0.51,0.48,60.84,5.76,3.96,15.34,1.98,30.2,22.76,5.51,5.6,5.37,62.0,18.0,34.0,114.0,4.0,10.0,2.0,13.0,4.0,32.0,17.0,58.0,76.0,7.0,14.0,52.0,91.0,16.0,18.0,53.0,21.0,6.0,1.38,2.8,1.57,1.0,1.0,2.0,110.26,80.0,77.74,15.0,0.83,2.13,2.13,4.46,4.35,4.26,64.02,6.56,4.63,14.44,1.96,34.37,24.06,6.33,6.65,6.42,62.0,24.0,25.0,111.0,7.0,8.0,1.0,11.0,3.0,31.0,26.0,55.0,79.0,11.0,22.0,59.0,92.0,12.0,24.0,55.0,21.0,10.0,2.03,2.18,2.35,3.0,2.0,2.0,114.22,86.0,87.75,15.0,0.97,1.56,1.56,5.96,6.04,5.92
84758258481581,2022,Harley-Hakanp,DAL,pairing,5on5,10,1446.0,62.0,0.65,0.53,0.57,15.56,1.42,0.96,4.17,0.53,8.2,5.72,1.36,1.41,1.35,12.0,9.0,6.0,27.0,1.0,3.0,0.0,2.0,1.0,2.0,12.0,11.0,20.0,4.0,8.0,7.0,15.0,2.0,7.0,15.0,3.0,3.0,0.3,0.45,0.68,0.0,1.0,0.0,26.34,21.0,20.42,5.0,0.2,0.66,0.66,0.96,0.94,0.93,10.97,0.75,0.61,2.91,0.37,6.29,5.07,0.75,0.76,0.76,12.0,4.0,8.0,24.0,0.0,0.0,0.0,6.0,0.0,7.0,3.0,12.0,16.0,0.0,0.0,7.0,16.0,3.0,2.0,14.0,1.0,1.0,0.33,0.1,0.33,0.0,0.0,0.0,25.1,16.0,16.42,1.0,0.13,0.0,0.0,0.87,0.89,0.89
847519384800028482110,2022,Tatar-Hischier-Mercer,NJD,line,5on5,4,800.0,29.0,0.48,0.52,0.59,7.85,0.62,0.49,2.02,0.26,3.8,2.8,0.58,0.56,0.52,7.0,3.0,2.0,12.0,0.0,2.0,0.0,1.0,0.0,2.0,5.0,7.0,10.0,1.0,2.0,11.0,6.0,3.0,2.0,7.0,3.0,0.0,0.18,0.44,0.0,0.0,0.0,0.0,10.65,10.0,8.99,1.0,0.1,0.23,0.23,0.5,0.45,0.44,4.95,0.68,0.39,1.07,0.16,2.76,1.94,0.67,0.71,0.7,4.0,3.0,4.0,11.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,1.0,2.0,7.0,6.0,1.0,3.0,4.0,2.0,1.0,0.11,0.26,0.32,0.0,2.0,0.0,12.28,7.0,7.59,1.0,0.08,0.32,0.32,0.45,0.47,0.47
847515184757548478115,2022,Engvall-Nelson-Palmieri,NYI,line,5on5,6,3718.0,8.0,0.51,0.51,0.5,38.09,3.55,2.73,9.43,1.3,21.38,14.61,3.36,3.57,3.37,36.0,17.0,26.0,79.0,5.0,4.0,0.0,9.0,3.0,18.0,14.0,31.0,48.0,7.0,16.0,30.0,28.0,11.0,14.0,37.0,13.0,3.0,0.91,1.82,0.82,4.0,1.0,0.0,77.78,53.0,52.64,7.0,0.57,0.73,0.73,3.39,3.4,3.33,38.89,3.36,2.41,10.31,1.26,20.11,14.55,3.15,3.4,3.18,44.0,8.0,25.0,77.0,2.0,7.0,1.0,9.0,0.0,12.0,22.0,42.0,50.0,3.0,6.0,36.0,32.0,6.0,7.0,40.0,8.0,4.0,1.04,1.13,1.19,0.0,1.0,1.0,78.51,52.0,52.95,6.0,0.51,1.43,1.43,2.44,2.47,2.42
84734468479398,2022,Girard-Johnson,COL,pairing,5on5,3,946.0,14.0,0.48,0.53,0.57,12.4,0.71,0.74,3.27,0.39,6.88,5.01,0.68,0.69,0.66,11.0,6.0,1.0,18.0,0.0,1.0,0.0,3.0,1.0,9.0,3.0,11.0,17.0,0.0,0.0,7.0,8.0,2.0,3.0,14.0,3.0,0.0,0.31,0.39,0.0,0.0,0.0,0.0,17.43,17.0,16.47,1.0,0.15,0.16,0.16,0.7,0.68,0.66,9.12,0.76,0.58,2.35,0.33,5.08,3.91,0.75,0.8,0.79,10.0,3.0,3.0,16.0,2.0,1.0,0.0,3.0,0.0,2.0,5.0,8.0,11.0,1.0,2.0,4.0,13.0,5.0,2.0,10.0,2.0,1.0,0.28,0.18,0.3,2.0,0.0,0.0,16.78,13.0,13.63,1.0,0.12,0.3,0.3,0.58,0.59,0.58
84772208480049,2022,Schmidt-Samberg,WPG,pairing,5on5,5,1973.0,23.0,0.63,0.61,0.62,14.96,0.99,0.89,3.86,0.49,8.43,6.33,0.98,1.02,1.0,14.0,7.0,6.0,27.0,1.0,2.0,0.0,3.0,0.0,6.0,9.0,13.0,20.0,1.0,2.0,10.0,29.0,7.0,3.0,18.0,2.0,1.0,0.43,0.2,0.36,0.0,1.0,0.0,27.7,21.0,22.14,1.0,0.18,0.37,0.37,0.8,0.85,0.83,9.53,0.59,0.6,2.28,0.31,4.89,4.34,0.57,0.59,0.57,11.0,2.0,4.0,17.0,1.0,1.0,0.0,2.0,0.0,4.0,5.0,10.0,12.0,1.0,2.0,14.0,24.0,8.0,2.0,9.0,4.0,0.0,0.16,0.43,0.0,1.0,0.0,0.0,17.46,13.0,13.31,2.0,0.12,0.14,0.14,0.57,0.57,0.57
84752188480803,2022,Ekholm-Bouchard,EDM,pairing,5on5,12,10456.0,15.0,0.5,0.58,0.55,100.71,9.34,7.15,23.13,3.31,55.31,40.76,9.11,9.4,9.17,101.0,38.0,65.0,204.0,8.0,9.0,0.0,16.0,2.0,67.0,37.0,93.0,131.0,13.0,26.0,96.0,126.0,29.0,35.0,97.0,34.0,8.0,3.29,4.04,2.02,4.0,4.0,0.0,207.17,139.0,140.55,15.0,1.49,1.5,1.5,9.34,9.41,9.26,85.45,9.19,5.96,21.18,2.93,43.56,32.17,8.58,9.1,8.49,86.0,29.0,34.0,149.0,7.0,18.0,1.0,17.0,5.0,42.0,26.0,79.0,108.0,14.0,28.0,94.0,111.0,30.0,43.0,78.0,23.0,14.0,2.21,3.18,3.8,3.0,1.0,3.0,145.82,115.0,113.38,29.0,1.25,3.71,3.71,6.74,6.62,6.49
84788828478911,2022,Gavrikov-Roy,LAK,pairing,5on5,6,6257.0,13.0,0.59,0.54,0.53,64.73,6.58,4.39,15.55,2.21,32.45,24.83,6.04,6.48,5.94,64.0,22.0,35.0,121.0,6.0,10.0,2.0,15.0,3.0,28.0,24.0,58.0,80.0,1.0,2.0,52.0,85.0,16.0,20.0,54.0,24.0,8.0,1.29,3.07,2.22,0.0,5.0,1.0,117.29,86.0,83.79,12.0,0.93,1.91,2.15,5.36,5.25,5.16,53.51,4.6,3.42,11.53,1.69,30.29,23.48,4.53,4.69,4.62,59.0,16.0,27.0,102.0,3.0,3.0,0.0,14.0,0.0,25.0,30.0,56.0,72.0,3.0,6.0,58.0,66.0,12.0,18.0,54.0,18.0,3.0,1.51,2.22,0.88,1.0,2.0,0.0,104.8,75.0,76.82,9.0,0.72,0.68,0.68,4.63,4.75,4.69
84759068482122,2022,Faber-Klingberg,MIN,pairing,5on5,4,2234.0,12.0,0.62,0.49,0.55,20.62,1.98,1.2,4.61,0.67,10.74,8.79,1.93,1.92,1.87,15.0,13.0,2.0,30.0,2.0,2.0,0.0,2.0,2.0,14.0,6.0,13.0,26.0,6.0,15.0,19.0,14.0,6.0,3.0,19.0,8.0,1.0,0.6,1.01,0.37,0.0,2.0,0.0,28.61,28.0,26.96,1.0,0.25,0.43,0.43,1.81,1.75,1.74,16.85,1.23,1.05,4.17,0.56,8.63,7.36,1.22,1.31,1.3,15.0,8.0,8.0,31.0,0.0,2.0,0.0,3.0,0.0,4.0,14.0,15.0,23.0,7.0,14.0,17.0,22.0,4.0,7.0,18.0,4.0,1.0,0.57,0.43,0.23,0.0,0.0,0.0,32.54,23.0,24.05,4.0,0.22,0.24,0.24,1.21,1.28,1.27
