team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2018,82.0,31,41,10,72,43.9,2.671,3.305,0.7989,17.7,45.0,40.0,254.0,84.3,30.3415,31.6098,0.543,0.167,0.63,0.815,0.429,0.372,4900.0,2418.0,2482.0,49.4,8.8,0.895,1.0,New Jersey Devils,/api/v1/teams/1,,,
1,2018,,29th,29th,10th,29th,29th,26th,26th,30th,21st,18th,4th,7th,4th,23rd,17th,20th,31st,27th,21st,24th,24th,10th,17th,22nd,23rd,,,1.0,New Jersey Devils,/api/v1/teams/1,26th,28th,23rd
2,2018,82.0,48,27,7,103,62.8,2.72,2.329,1.2756,14.5,33.0,44.0,227.0,79.9,28.7805,30.9024,0.689,0.459,0.71,0.85,0.531,0.646,4477.0,2124.0,2353.0,47.4,9.4,0.925,2.0,New York Islanders,/api/v1/teams/2,,,
2,2018,,5th,6th,23rd,5th,5th,22nd,1st,2nd,29th,29th,10th,22nd,17th,29th,12th,10th,3rd,22nd,16th,13th,13th,31st,31st,8th,29th,,,2.0,New York Islanders,/api/v1/teams/2,5th,1st,15th
3,2018,82.0,32,36,14,78,47.6,2.695,3.256,0.8382,19.4,44.0,58.0,227.0,78.2,29.1829,33.8293,0.432,0.356,0.526,0.722,0.462,0.357,4663.0,2188.0,2475.0,46.9,9.2,0.904,3.0,New York Rangers,/api/v1/teams/3,,,
3,2018,,27th,23rd,3rd,26th,26th,23rd,23rd,24th,17th,20th,29th,23rd,27th,27th,29th,31st,9th,29th,31st,18th,18th,30th,29th,21st,30th,,,3.0,New York Rangers,/api/v1/teams/3,28th,19th,19th
4,2018,82.0,37,37,8,82,50.0,2.939,3.415,0.8639,17.1,40.0,51.0,234.0,78.5,31.5,32.5,0.656,0.32,0.773,0.839,0.306,0.548,4818.0,2637.0,2181.0,54.7,9.3,0.895,4.0,Philadelphia Flyers,/api/v1/teams/4,,,
4,2018,,20th,24th,21st,22nd,22nd,18th,29th,21st,23rd,23rd,22nd,19th,26th,17th,22nd,27th,8th,12th,17th,31st,31st,20th,1st,1st,1st,,,4.0,Philadelphia Flyers,/api/v1/teams/4,14th,29th,18th
5,2018,82.0,44,26,12,100,61.0,3.305,2.902,1.2133,24.6,56.0,45.0,228.0,79.7,33.3049,33.2805,0.596,0.457,0.75,0.923,0.417,0.634,4908.0,2482.0,2426.0,50.6,9.9,0.913,5.0,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2018,,13th,5th,4th,7th,7th,6th,14th,6th,5th,7th,16th,21st,19th,5th,26th,16th,6th,14th,6th,26th,26th,9th,9th,16th,12th,,,5.0,Pittsburgh Penguins,/api/v1/teams/5,6th,6th,9th
6,2018,82.0,49,24,9,107,65.2,3.134,2.585,1.2266,25.9,65.0,49.0,251.0,79.9,32.6829,29.4634,0.739,0.417,0.806,0.838,0.563,0.625,4840.0,2455.0,2385.0,50.7,9.6,0.912,6.0,Boston Bruins,/api/v1/teams/6,,,
6,2018,,3rd,2nd,11th,2nd,2nd,11th,3rd,4th,3rd,3rd,20th,8th,16th,9th,6th,5th,10th,10th,18th,11th,11th,18th,12th,10th,10th,,,6.0,Boston Bruins,/api/v1/teams/6,19th,7th,12th
7,2018,82.0,33,39,10,76,46.3,2.695,3.268,0.8324,19.5,46.0,41.0,236.0,80.9,32.8902,32.9756,0.615,0.209,0.655,0.75,0.325,0.463,4872.0,2334.0,2538.0,47.9,8.2,0.901,7.0,Buffalo Sabres,/api/v1/teams/7,,,
7,2018,,26th,27th,8th,27th,27th,24th,24th,26th,16th,15th,7th,17th,12th,8th,23rd,22nd,29th,25th,27th,30th,30th,13th,26th,29th,27th,,,7.0,Buffalo Sabres,/api/v1/teams/7,3rd,23rd,31st
8,2018,82.0,44,30,8,96,58.5,3.0,2.878,1.1534,13.2,31.0,46.0,234.0,80.9,34.0976,31.0732,0.705,0.342,0.75,0.794,0.565,0.486,4932.0,2437.0,2495.0,49.4,8.8,0.907,8.0,Montréal Canadiens,/api/v1/teams/8,,,
8,2018,,14th,13th,19th,14th,14th,13th,13th,8th,30th,31st,18th,18th,13th,3rd,13th,13th,17th,15th,22nd,10th,10th,5th,14th,25th,21st,,,8.0,Montréal Canadiens,/api/v1/teams/8,18th,11th,22nd
9,2018,82.0,29,47,6,64,39.0,2.951,3.671,0.7854,20.4,46.0,45.0,226.0,79.2,29.622,35.7439,0.512,0.179,0.586,0.76,0.44,0.321,4815.0,2387.0,2428.0,49.6,10.0,0.897,9.0,Ottawa Senators,/api/v1/teams/9,,,
9,2018,,31st,31st,28th,31st,31st,17th,31st,31st,13th,16th,17th,24th,23rd,25th,31st,25th,30th,28th,25th,21st,21st,21st,22nd,17th,18th,,,9.0,Ottawa Senators,/api/v1/teams/9,4th,26th,8th
10,2018,82.0,46,28,8,100,61.0,3.488,3.037,1.2047,21.8,46.0,41.0,211.0,79.9,33.3659,33.1341,0.738,0.375,0.828,0.973,0.571,0.561,4959.0,2629.0,2330.0,53.0,10.5,0.908,10.0,Toronto Maple Leafs,/api/v1/teams/10,,,
10,2018,,10th,8th,18th,8th,8th,4th,20th,7th,8th,14th,5th,31st,18th,4th,24th,12th,12th,7th,1st,9th,9th,4th,2nd,5th,2nd,,,10.0,Toronto Maple Leafs,/api/v1/teams/10,2nd,10th,6th
12,2018,82.0,46,29,7,99,60.4,2.963,2.695,1.0878,17.8,44.0,44.0,247.0,81.6,34.4146,28.5732,0.767,0.333,0.862,0.872,0.509,0.708,4968.0,2436.0,2532.0,49.0,8.6,0.906,12.0,Carolina Hurricanes,/api/v1/teams/12,,,
12,2018,,11th,11th,24th,11th,11th,16th,8th,12th,20th,19th,11th,11th,8th,1st,3rd,6th,16th,6th,15th,16th,16th,3rd,15th,28th,24th,,,12.0,Carolina Hurricanes,/api/v1/teams/12,16th,14th,25th
13,2018,82.0,36,32,14,86,52.4,3.22,3.329,0.8526,26.8,72.0,43.0,269.0,81.3,32.9878,30.6829,0.538,0.349,0.483,0.735,0.468,0.406,5072.0,2527.0,2545.0,49.8,9.8,0.891,13.0,Florida Panthers,/api/v1/teams/13,,,
13,2018,,21st,18th,2nd,18th,18th,9th,28th,22nd,2nd,2nd,9th,3rd,10th,7th,10th,26th,13th,31st,30th,17th,17th,1st,6th,30th,17th,,,13.0,Florida Panthers,/api/v1/teams/13,9th,30th,11th
14,2018,82.0,62,16,4,128,78.0,3.89,2.695,1.3121,28.2,74.0,40.0,262.0,85.0,31.9512,32.1098,0.848,0.639,0.912,0.907,0.75,0.75,4921.0,2520.0,2401.0,51.2,12.2,0.916,14.0,Tampa Bay Lightning,/api/v1/teams/14,,,
14,2018,,1st,1st,30th,1st,1st,1st,7th,1st,1st,1st,3rd,4th,1st,14th,21st,1st,1st,1st,9th,1st,1st,8th,7th,13th,8th,,,14.0,Tampa Bay Lightning,/api/v1/teams/14,29th,3rd,1st
15,2018,82.0,48,26,8,104,63.4,3.341,3.024,1.2236,20.8,49.0,55.0,236.0,78.9,30.3902,31.5122,0.762,0.4,0.73,0.902,0.636,0.533,4723.0,2160.0,2563.0,45.7,11.0,0.904,15.0,Washington Capitals,/api/v1/teams/15,,,
15,2018,,4th,4th,17th,4th,4th,5th,17th,5th,12th,10th,25th,16th,24th,22nd,15th,8th,5th,20th,11th,2nd,2nd,27th,30th,31st,31st,,,15.0,Washington Capitals,/api/v1/teams/15,27th,18th,2nd
16,2018,82.0,36,34,12,84,51.2,3.256,3.549,0.9892,20.2,48.0,63.0,238.0,72.7,32.5488,34.7805,0.605,0.256,0.741,0.92,0.444,0.409,4760.0,2356.0,2404.0,49.5,10.0,0.898,16.0,Chicago Blackhawks,/api/v1/teams/16,,,
16,2018,,22nd,19th,5th,20th,20th,8th,30th,18th,15th,12th,31st,14th,31st,12th,30th,19th,26th,18th,7th,19th,19th,25th,24th,14th,19th,,,16.0,Chicago Blackhawks,/api/v1/teams/16,11th,25th,7th
17,2018,82.0,32,40,10,74,45.1,2.732,3.317,0.8258,18.1,39.0,56.0,216.0,77.1,29.1951,33.6707,0.568,0.244,0.5,0.739,0.385,0.389,5058.0,2568.0,2490.0,50.8,9.4,0.901,17.0,Detroit Red Wings,/api/v1/teams/17,,,
17,2018,,28th,28th,9th,28th,28th,21st,27th,27th,19th,25th,27th,28th,28th,26th,28th,28th,23rd,30th,29th,27th,27th,2nd,3rd,24th,9th,,,17.0,Detroit Red Wings,/api/v1/teams/17,20th,22nd,17th
18,2018,82.0,47,29,6,100,61.0,2.878,2.585,1.1469,12.9,33.0,45.0,255.0,82.1,32.6585,29.9878,0.875,0.286,0.88,0.946,0.6,0.5,4922.0,2537.0,2385.0,51.5,8.8,0.914,18.0,Nashville Predators,/api/v1/teams/18,,,
18,2018,,6th,10th,27th,9th,9th,19th,4th,9th,31st,30th,15th,6th,6th,10th,9th,4th,18th,2nd,3rd,4th,4th,7th,4th,11th,5th,,,18.0,Nashville Predators,/api/v1/teams/18,24th,4th,21st
19,2018,82.0,45,28,9,99,60.4,2.976,2.683,1.1361,21.1,50.0,43.0,237.0,81.5,31.7561,28.5976,0.75,0.265,0.758,0.897,0.582,0.5,4767.0,2450.0,2317.0,51.4,9.4,0.906,19.0,St. Louis Blues,/api/v1/teams/19,,,
19,2018,,12th,9th,13th,10th,10th,15th,5th,10th,10th,9th,8th,15th,9th,15th,4th,3rd,28th,13th,12th,7th,7th,24th,13th,4th,6th,,,19.0,St. Louis Blues,/api/v1/teams/19,12th,13th,16th
20,2018,82.0,50,25,7,107,65.2,3.524,2.72,1.2617,19.3,53.0,50.0,275.0,79.7,32.3902,28.0732,0.878,0.341,0.875,0.969,0.571,0.68,4755.0,2490.0,2265.0,52.4,10.9,0.903,20.0,Calgary Flames,/api/v1/teams/20,,,
20,2018,,2nd,3rd,22nd,3rd,3rd,2nd,9th,3rd,18th,8th,21st,2nd,21st,13th,1st,2nd,14th,4th,2nd,8th,8th,26th,8th,2nd,3rd,,,20.0,Calgary Flames,/api/v1/teams/20,21st,21st,3rd
21,2018,82.0,38,30,14,90,54.9,3.146,2.976,1.0195,22.0,63.0,58.0,286.0,78.7,32.6341,31.939,0.7,0.238,0.75,0.875,0.524,0.395,4875.0,2346.0,2529.0,48.1,9.6,0.907,21.0,Colorado Avalanche,/api/v1/teams/21,,,
21,2018,,18th,14th,1st,17th,17th,10th,16th,16th,7th,4th,28th,1st,25th,11th,20th,17th,24th,16th,13th,15th,15th,12th,25th,27th,26th,,,21.0,Colorado Avalanche,/api/v1/teams/21,31st,12th,13th
22,2018,82.0,35,38,9,79,48.2,2.793,3.305,0.8156,21.2,47.0,62.0,222.0,74.8,29.1707,31.6951,0.575,0.286,0.63,0.778,0.438,0.435,4810.0,2327.0,2483.0,48.4,9.6,0.896,22.0,Edmonton Oilers,/api/v1/teams/22,,,
22,2018,,25th,26th,15th,25th,25th,20th,25th,29th,9th,13th,30th,25th,30th,28th,19th,24th,20th,26th,23rd,23rd,23rd,22nd,27th,23rd,25th,,,22.0,Edmonton Oilers,/api/v1/teams/22,22nd,27th,14th
23,2018,82.0,35,36,11,81,49.4,2.671,3.024,0.8343,17.1,43.0,48.0,251.0,81.1,29.6707,31.6707,0.727,0.224,0.75,0.75,0.382,0.447,4857.0,2404.0,2453.0,49.5,9.0,0.905,23.0,Vancouver Canucks,/api/v1/teams/23,,,
23,2018,,23rd,22nd,6th,23rd,23rd,25th,18th,25th,22nd,21st,19th,9th,11th,24th,18th,21st,22nd,17th,26th,28th,28th,16th,20th,19th,20th,,,23.0,Vancouver Canucks,/api/v1/teams/23,25th,16th,20th
24,2018,82.0,35,37,10,80,48.8,2.39,3.024,0.8831,17.0,36.0,55.0,212.0,79.7,27.6951,33.2317,0.59,0.279,0.68,0.769,0.44,0.426,4663.0,2394.0,2269.0,51.3,8.6,0.909,24.0,Anaheim Ducks,/api/v1/teams/24,,,
24,2018,,24th,25th,7th,24th,24th,31st,19th,20th,24th,26th,26th,30th,20th,31st,25th,23rd,19th,24th,24th,20th,20th,29th,21st,3rd,7th,,,24.0,Anaheim Ducks,/api/v1/teams/24,30th,9th,26th
25,2018,82.0,43,32,7,93,56.7,2.549,2.439,1.0149,21.0,45.0,41.0,214.0,82.8,30.7195,31.5976,0.744,0.282,0.81,0.909,0.528,0.522,4875.0,2529.0,2346.0,51.9,8.3,0.923,25.0,Dallas Stars,/api/v1/teams/25,,,
25,2018,,16th,17th,26th,16th,16th,28th,2nd,17th,11th,17th,6th,29th,5th,21st,16th,9th,21st,9th,8th,14th,14th,11th,5th,7th,4th,,,25.0,Dallas Stars,/api/v1/teams/25,15th,2nd,28th
26,2018,82.0,31,42,9,71,43.3,2.427,3.159,0.8246,15.8,35.0,54.0,221.0,76.5,28.7561,31.439,0.7,0.192,0.867,0.833,0.375,0.375,4776.0,2410.0,2366.0,50.5,8.4,0.9,26.0,Los Angeles Kings,/api/v1/teams/26,,,
26,2018,,30th,30th,16th,30th,30th,30th,22nd,28th,27th,27th,24th,27th,29th,30th,14th,29th,27th,5th,19th,29th,29th,23rd,18th,9th,13th,,,26.0,Los Angeles Kings,/api/v1/teams/26,10th,24th,27th
28,2018,82.0,46,27,9,101,61.6,3.524,3.146,1.0376,23.6,57.0,45.0,241.0,80.8,33.0244,28.3293,0.705,0.395,0.813,0.872,0.582,0.542,4722.0,2376.0,2346.0,50.3,10.7,0.889,28.0,San Jose Sharks,/api/v1/teams/28,,,
28,2018,,9th,7th,12th,6th,6th,3rd,21st,14th,6th,6th,14th,12th,15th,6th,2nd,11th,11th,8th,14th,6th,6th,28th,23rd,6th,15th,,,28.0,San Jose Sharks,/api/v1/teams/28,13th,31st,4th
29,2018,82.0,47,31,4,98,59.8,3.122,2.817,1.1,15.4,34.0,30.0,221.0,85.0,31.6098,29.4878,0.786,0.35,0.879,0.941,0.549,0.63,4844.0,2434.0,2410.0,50.2,9.9,0.904,29.0,Columbus Blue Jackets,/api/v1/teams/29,,,
29,2018,,8th,15th,31st,13th,13th,12th,11th,11th,28th,28th,1st,26th,2nd,16th,7th,7th,15th,3rd,4th,12th,12th,17th,16th,15th,16th,,,29.0,Columbus Blue Jackets,/api/v1/teams/29,1st,17th,10th
30,2018,82.0,37,36,9,83,50.6,2.561,2.841,0.9038,20.3,49.0,44.0,241.0,81.7,31.3049,29.5,0.69,0.321,0.773,0.815,0.438,0.485,4869.0,2404.0,2465.0,49.4,8.2,0.904,30.0,Minnesota Wild,/api/v1/teams/30,,,
30,2018,,19th,21st,14th,21st,21st,27th,12th,19th,14th,11th,13th,13th,7th,18th,8th,30th,4th,11th,20th,22nd,22nd,14th,19th,20th,22nd,,,30.0,Minnesota Wild,/api/v1/teams/30,17th,20th,30th
52,2018,82.0,47,30,5,99,60.4,3.293,2.963,1.0307,24.8,62.0,52.0,250.0,79.2,31.1829,33.4268,0.69,0.45,0.733,0.743,0.621,0.549,4860.0,2464.0,2396.0,50.7,10.6,0.911,52.0,Winnipeg Jets,/api/v1/teams/52,,,
52,2018,,7th,12th,29th,12th,12th,7th,15th,15th,4th,5th,23rd,10th,22nd,19th,27th,14th,2nd,19th,28th,3rd,3rd,15th,11th,12th,11th,,,52.0,Winnipeg Jets,/api/v1/teams/52,23rd,8th,5th
53,2018,82.0,39,35,8,86,52.4,2.549,2.683,0.8408,16.3,42.0,34.0,258.0,85.0,30.7439,30.8171,0.617,0.286,0.714,0.935,0.425,0.537,4818.0,2307.0,2511.0,47.9,8.3,0.913,53.0,Arizona Coyotes,/api/v1/teams/53,,,
53,2018,,17th,20th,20th,19th,19th,29th,6th,23rd,26th,22nd,2nd,5th,3rd,20th,11th,15th,25th,21st,5th,25th,25th,19th,28th,26th,28th,,,53.0,Arizona Coyotes,/api/v1/teams/53,7th,5th,29th
54,2018,82.0,43,32,7,93,56.7,3.0,2.78,1.0741,16.8,39.0,44.0,232.0,80.9,34.3171,29.2561,0.643,0.4,0.69,0.903,0.585,0.423,4923.0,2481.0,2442.0,50.4,8.7,0.905,54.0,Vegas Golden Knights,/api/v1/teams/54,,,
54,2018,,15th,16th,25th,15th,15th,14th,10th,13th,25th,24th,12th,20th,14th,2nd,5th,18th,7th,23rd,10th,5th,5th,6th,10th,18th,14th,,,54.0,Vegas Golden Knights,/api/v1/teams/54,8th,15th,24th
