team_id,season,jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
1,2022,2,8474090,Brendan Smith,/api/v1/people/8474090,D,Defenseman,Defenseman,D
1,2022,90,8475193,Tomas Tatar,/api/v1/people/8475193,L,Left Wing,Forward,LW
1,2022,56,8475287,Erik Haula,/api/v1/people/8475287,L,Left Wing,Forward,LW
1,2022,18,8476292,Ondrej Palat,/api/v1/people/8476292,L,Left Wing,Forward,LW
1,2022,7,8476462,Dougie Hamilton,/api/v1/people/8476462,D,Defenseman,Defenseman,D
1,2022,78,8476923,Damon Severson,/api/v1/people/8476923,D,Defenseman,Defenseman,D
1,2022,18,8477341,Andreas Johnsson,/api/v1/people/8477341,L,Left Wing,Forward,LW
1,2022,28,8477425,Miles Wood,/api/v1/people/8477425,L,Left Wing,Forward,LW
1,2022,27,8477435,Ryan Graves,/api/v1/people/8477435,D,Defenseman,Defenseman,D
1,2022,42,8477508,Curtis Lazar,/api/v1/people/8477508,C,Center,Forward,C
1,2022,71,8478399,Jonas Siegenthaler,/api/v1/people/8478399,D,Defenseman,Defenseman,D
1,2022,28,8478414,Timo Meier,/api/v1/people/8478414,R,Right Wing,Forward,RW
1,2022,6,8478507,John Marino,/api/v1/people/8478507,D,Defenseman,Defenseman,D
1,2022,63,8479407,Jesper Bratt,/api/v1/people/8479407,L,Left Wing,Forward,LW
1,2022,14,8479414,Nathan Bastian,/api/v1/people/8479414,R,Right Wing,Forward,RW
1,2022,20,8479415,Michael McLeod,/api/v1/people/8479415,C,Center,Forward,C
1,2022,13,8480002,Nico Hischier,/api/v1/people/8480002,C,Center,Forward,C
1,2022,70,8480003,Jesper Boqvist,/api/v1/people/8480003,C,Center,Forward,C
1,2022,20,8480188,Fabian Zetterlund,/api/v1/people/8480188,L,Left Wing,Forward,LW
1,2022,88,8480860,Kevin Bahl,/api/v1/people/8480860,D,Defenseman,Defenseman,D
1,2022,17,8481068,Yegor Sharangovich,/api/v1/people/8481068,C,Center,Forward,C
1,2022,25,8481518,Nolan Foote,/api/v1/people/8481518,L,Left Wing,Forward,LW
1,2022,83,8481537,Nikita Okhotiuk,/api/v1/people/8481537,D,Defenseman,Defenseman,D
1,2022,86,8481559,Jack Hughes,/api/v1/people/8481559,C,Center,Forward,C
1,2022,12,8481740,Tyce Thompson,/api/v1/people/8481740,R,Right Wing,Forward,RW
1,2022,91,8482110,Dawson Mercer,/api/v1/people/8482110,C,Center,Forward,C
1,2022,10,8482125,Alexander Holtz,/api/v1/people/8482125,R,Right Wing,Forward,RW
1,2022,43,8482684,Luke Hughes,/api/v1/people/8482684,D,Defenseman,Defenseman,D
1,2022,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G
1,2022,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G
1,2022,40,8481033,Akira Schmid,/api/v1/people/8481033,G,Goalie,Goalie,G
2,2022,11,8470610,Zach Parise,/api/v1/people/8470610,L,Left Wing,Forward,LW
2,2022,15,8473504,Cal Clutterbuck,/api/v1/people/8473504,R,Right Wing,Forward,RW
2,2022,12,8474573,Josh Bailey,/api/v1/people/8474573,R,Right Wing,Forward,RW
2,2022,17,8474709,Matt Martin,/api/v1/people/8474709,L,Left Wing,Forward,LW
2,2022,21,8475151,Kyle Palmieri,/api/v1/people/8475151,C,Center,Forward,C
2,2022,53,8475231,Casey Cizikas,/api/v1/people/8475231,C,Center,Forward,C
2,2022,27,8475314,Anders Lee,/api/v1/people/8475314,L,Left Wing,Forward,LW
2,2022,29,8475754,Brock Nelson,/api/v1/people/8475754,C,Center,Forward,C
2,2022,18,8476404,Andy Andreoff,/api/v1/people/8476404,C,Center,Forward,C
2,2022,44,8476419,Jean-Gabriel Pageau,/api/v1/people/8476419,C,Center,Forward,C
2,2022,24,8476429,Scott Mayfield,/api/v1/people/8476429,D,Defenseman,Defenseman,D
2,2022,3,8476917,Adam Pelech,/api/v1/people/8476917,D,Defenseman,Defenseman,D
2,2022,20,8477392,Hudson Fasching,/api/v1/people/8477392,R,Right Wing,Forward,RW
2,2022,14,8477500,Bo Horvat,/api/v1/people/8477500,C,Center,Forward,C
2,2022,6,8477506,Ryan Pulock,/api/v1/people/8477506,D,Defenseman,Defenseman,D
