team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2020,56.0,19,30,7,45,40.2,2.589,3.375,0.8293,14.2,22.0,43.0,155.0,71.0,28.7857,31.0179,0.552,0.111,0.737,0.733,0.211,0.417,3180.0,1481.0,1699.0,46.6,9.0,0.891,1.0,New Jersey Devils,/api/v1/teams/1,,,
1,2020,,28th,29th,15th,29th,29th,26th,28th,21st,28th,28th,30th,23rd,31st,24th,22nd,22nd,31st,19th,28th,31st,31st,8th,27th,30th,27th,,,1.0,New Jersey Devils,/api/v1/teams/1,6th,29th,24th
2,2020,56.0,32,17,7,71,63.4,2.714,2.232,1.2418,18.8,27.0,22.0,144.0,83.7,28.9821,28.3929,0.821,0.321,0.833,0.842,0.69,0.44,2916.0,1498.0,1418.0,51.4,9.4,0.921,2.0,New York Islanders,/api/v1/teams/2,,,
2,2020,,12th,11th,11th,12th,12th,21st,2nd,7th,20th,24th,2nd,28th,6th,22nd,10th,10th,16th,7th,20th,4th,4th,31st,25th,2nd,9th,,,2.0,New York Islanders,/api/v1/teams/2,2nd,1st,17th
3,2020,56.0,27,23,6,60,53.6,3.143,2.768,1.0943,20.7,37.0,30.0,179.0,82.2,28.6964,29.7143,0.7,0.231,0.739,0.808,0.545,0.484,3026.0,1346.0,1680.0,44.5,11.0,0.907,3.0,New York Rangers,/api/v1/teams/3,,,
3,2020,,16th,18th,17th,17th,17th,10th,14th,13th,14th,10th,12th,4th,10th,25th,13th,12th,24th,16th,23rd,14th,14th,26th,31st,29th,31st,,,3.0,New York Rangers,/api/v1/teams/3,20th,12th,4th
4,2020,56.0,25,23,8,58,51.8,2.857,3.518,0.806,19.2,32.0,45.0,167.0,73.0,30.2143,29.2143,0.609,0.333,0.769,0.833,0.441,0.455,3217.0,1738.0,1479.0,54.0,9.5,0.88,4.0,Philadelphia Flyers,/api/v1/teams/4,,,
4,2020,,18th,19th,8th,19th,19th,15th,31st,23rd,18th,15th,31st,12th,30th,10th,12th,23rd,11th,10th,21st,22nd,22nd,6th,3rd,8th,2nd,,,4.0,Philadelphia Flyers,/api/v1/teams/4,17th,31st,16th
5,2020,56.0,37,16,3,77,68.8,3.446,2.768,1.27,23.7,36.0,35.0,152.0,77.4,30.0714,29.9821,0.793,0.519,0.846,0.926,0.655,0.68,3191.0,1573.0,1618.0,49.3,11.5,0.908,5.0,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2020,,4th,7th,25th,7th,7th,2nd,13th,5th,4th,12th,22nd,25th,27th,12th,15th,7th,2nd,6th,7th,6th,6th,7th,11th,23rd,21st,,,5.0,Pittsburgh Penguins,/api/v1/teams/5,11th,10th,1st
6,2020,56.0,33,16,7,73,65.2,2.929,2.393,1.1383,21.9,35.0,25.0,160.0,86.0,33.3214,27.0714,0.735,0.364,0.909,0.885,0.615,0.467,3169.0,1751.0,1418.0,55.2,8.8,0.912,6.0,Boston Bruins,/api/v1/teams/6,,,
6,2020,,11th,9th,10th,10th,10th,14th,5th,12th,10th,14th,3rd,16th,2nd,3rd,2nd,5th,17th,2nd,11th,10th,10th,9th,2nd,1st,1st,,,6.0,Boston Bruins,/api/v1/teams/6,28th,5th,26th
7,2020,56.0,15,34,7,37,33.0,2.393,3.5,0.635,21.0,30.0,31.0,143.0,77.7,28.4286,33.7321,0.421,0.189,0.364,0.667,0.357,0.244,3053.0,1514.0,1539.0,49.6,8.4,0.896,7.0,Buffalo Sabres,/api/v1/teams/7,,,
7,2020,,31st,31st,16th,31st,31st,29th,30th,31st,12th,20th,15th,29th,26th,26th,31st,31st,23rd,31st,30th,27th,27th,24th,21st,13th,19th,,,7.0,Buffalo Sabres,/api/v1/teams/7,3rd,26th,28th
8,2020,56.0,24,21,11,59,52.7,2.821,2.946,1.0291,19.2,29.0,37.0,151.0,78.5,31.1786,28.1964,0.613,0.2,0.7,0.9,0.485,0.318,3114.0,1507.0,1607.0,48.4,9.0,0.896,8.0,Montréal Canadiens,/api/v1/teams/8,,,
8,2020,,19th,15th,3rd,18th,18th,17th,18th,17th,17th,22nd,26th,26th,23rd,7th,7th,16th,27th,22nd,8th,16th,16th,17th,23rd,22nd,25th,,,8.0,Montréal Canadiens,/api/v1/teams/8,24th,27th,23rd
9,2020,56.0,23,28,5,51,45.5,2.768,3.375,0.803,15.5,27.0,36.0,174.0,79.0,29.6964,32.125,0.667,0.219,0.867,0.85,0.409,0.452,3100.0,1469.0,1631.0,47.4,9.3,0.895,9.0,Ottawa Senators,/api/v1/teams/9,,,
9,2020,,23rd,25th,22nd,23rd,23rd,20th,27th,24th,26th,25th,24th,10th,20th,16th,27th,21st,20th,4th,19th,23rd,23rd,21st,28th,25th,26th,,,9.0,Ottawa Senators,/api/v1/teams/9,22nd,28th,18th
10,2020,56.0,35,14,7,77,68.8,3.321,2.643,1.375,20.0,31.0,31.0,155.0,78.5,31.2679,27.8214,0.735,0.455,0.692,0.8,0.559,0.75,2981.0,1523.0,1458.0,51.1,10.6,0.905,10.0,Toronto Maple Leafs,/api/v1/teams/10,,,
10,2020,,8th,5th,9th,5th,5th,6th,7th,3rd,16th,19th,13th,20th,24th,6th,5th,4th,13th,24th,24th,13th,13th,27th,18th,3rd,10th,,,10.0,Toronto Maple Leafs,/api/v1/teams/10,5th,15th,6th
12,2020,56.0,36,12,8,80,71.4,3.125,2.393,1.3086,25.6,42.0,26.0,164.0,85.2,32.0357,28.2321,0.735,0.5,0.81,0.862,0.639,0.632,3425.0,1845.0,1580.0,53.9,9.8,0.915,12.0,Carolina Hurricanes,/api/v1/teams/12,,,
12,2020,,5th,1st,7th,3rd,3rd,11th,4th,4th,2nd,3rd,4th,14th,3rd,5th,8th,3rd,9th,9th,16th,8th,8th,1st,1st,19th,3rd,,,12.0,Carolina Hurricanes,/api/v1/teams/12,26th,3rd,12th
13,2020,56.0,37,14,5,79,70.5,3.357,2.696,1.2553,20.5,39.0,34.0,190.0,79.8,34.8929,30.0357,0.714,0.607,0.737,0.929,0.622,0.75,3330.0,1671.0,1659.0,50.2,9.6,0.91,13.0,Florida Panthers,/api/v1/teams/13,,,
13,2020,,3rd,4th,19th,4th,4th,4th,9th,6th,15th,5th,20th,2nd,18th,1st,16th,13th,1st,17th,5th,9th,9th,2nd,5th,26th,15th,,,13.0,Florida Panthers,/api/v1/teams/13,19th,8th,15th
14,2020,56.0,36,17,3,75,67.0,3.214,2.589,1.1443,22.2,40.0,29.0,180.0,84.2,30.2143,28.2679,0.786,0.5,0.909,1.0,0.655,0.64,3127.0,1567.0,1560.0,50.1,10.6,0.908,14.0,Tampa Bay Lightning,/api/v1/teams/14,,,
14,2020,,7th,10th,26th,9th,9th,9th,6th,10th,9th,4th,9th,3rd,4th,9th,9th,11th,3rd,1st,1st,7th,7th,15th,12th,16th,16th,,,14.0,Tampa Bay Lightning,/api/v1/teams/14,29th,9th,7th
15,2020,56.0,36,15,5,77,68.8,3.357,2.875,1.2336,24.8,38.0,26.0,153.0,84.0,29.4107,28.7857,0.75,0.5,0.727,0.929,0.677,0.545,3134.0,1542.0,1592.0,49.2,11.4,0.9,15.0,Washington Capitals,/api/v1/teams/15,,,
15,2020,,6th,6th,20th,6th,6th,5th,17th,8th,3rd,6th,5th,24th,5th,18th,11th,6th,6th,20th,6th,5th,5th,14th,13th,21st,22nd,,,15.0,Washington Capitals,/api/v1/teams/15,15th,19th,2nd
16,2020,56.0,24,25,7,55,49.1,2.839,3.286,0.8,21.7,38.0,35.0,175.0,76.8,29.1964,33.7143,0.63,0.241,0.647,0.789,0.45,0.412,3105.0,1439.0,1666.0,46.3,9.7,0.903,16.0,Chicago Blackhawks,/api/v1/teams/16,,,
