team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
1,2017,82.0,44,29,9,97,59.1,2.963,2.927,0.9581,21.4,54.0,47.0,252.0,81.8,31.6951,31.9024,0.692,0.395,0.739,0.941,0.457,0.6,5046.0,2371.0,2675.0,47.0,9.3,0.908,1.0,New Jersey Devils,/api/v1/teams/1,,,
1,2017,,14th,14th,18th,14th,14th,15th,17th,17th,10th,11th,12th,12th,7th,18th,16th,18th,8th,18th,3rd,19th,19th,11th,30th,30th,30th,,,1.0,New Jersey Devils,/api/v1/teams/1,17th,18th,15th
2,2017,82.0,35,37,10,80,48.8,3.183,3.573,0.9316,23.2,58.0,63.0,250.0,73.2,31.3659,35.5854,0.605,0.273,0.708,0.862,0.345,0.481,4919.0,2404.0,2515.0,48.9,10.1,0.9,2.0,New York Islanders,/api/v1/teams/2,,,
2,2017,,23rd,22nd,16th,22nd,22nd,8th,31st,19th,6th,7th,29th,13th,31st,19th,31st,23rd,19th,23rd,14th,28th,28th,20th,25th,18th,23rd,,,2.0,New York Islanders,/api/v1/teams/2,9th,28th,7th
3,2017,82.0,34,39,9,77,47.0,2.78,3.207,0.8242,21.2,51.0,46.0,241.0,81.4,30.9512,35.3415,0.667,0.217,0.625,0.957,0.4,0.42,4838.0,2384.0,2454.0,49.3,9.0,0.909,3.0,New York Rangers,/api/v1/teams/3,,,
3,2017,,24th,23rd,20th,24th,24th,21st,28th,28th,13th,16th,10th,23rd,12th,23rd,30th,21st,25th,28th,1st,24th,24th,28th,29th,12th,20th,,,3.0,New York Rangers,/api/v1/teams/3,16th,14th,18th
4,2017,82.0,42,26,14,98,59.8,3.037,2.878,1.0897,20.7,54.0,54.0,261.0,75.8,32.0854,29.8537,0.657,0.404,0.667,0.829,0.5,0.5,4812.0,2563.0,2249.0,53.3,9.5,0.904,4.0,Philadelphia Flyers,/api/v1/teams/4,,,
4,2017,,18th,10th,1st,12th,12th,12th,14th,13th,15th,10th,23rd,7th,29th,17th,5th,22nd,4th,26th,22nd,16th,16th,30th,9th,2nd,3rd,,,4.0,Philadelphia Flyers,/api/v1/teams/4,3rd,22nd,12th
5,2017,82.0,47,29,6,100,61.0,3.293,3.024,0.9148,26.1,68.0,53.0,260.0,80.0,34.4268,31.1341,0.702,0.4,0.821,0.923,0.64,0.483,5118.0,2572.0,2546.0,50.2,9.6,0.903,5.0,Pittsburgh Penguins,/api/v1/teams/5,,,
5,2017,,8th,12th,28th,11th,11th,4th,20th,22nd,1st,1st,21st,8th,17th,1st,9th,8th,14th,11th,6th,6th,6th,5th,8th,20th,15th,,,5.0,Pittsburgh Penguins,/api/v1/teams/5,21st,23rd,11th
